nazwa,Substancja czynna,postac,dawka,Zawartosc opakowania,Kod EAN lub inny kod odpowiadajacy kodowi EAN,Poziom odplatnosci,Zakres wskazan objetych refundacja,Wysokosc doplaty swiadczeniobiorcy
Acidum folicum Richter,Acidum folicum, tabl., 5 mg,30 szt. (1 blist.po 30 szt.),05909990109210,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,51"
Marelim,Acidum mycophenolicum, tabletki dojelitowe, 180 mg,120 tabl.,05909991227272,ryczalt,Stan po przeszczepie narzadu unaczynionego badz szpiku,"25,89"
Marelim,Acidum mycophenolicum, tabletki dojelitowe, 360 mg,120 tabl.,05909991227319,ryczalt,Stan po przeszczepie narzadu unaczynionego badz szpiku,"50,32"
Exacyl,Acidum tranexamicum, roztwor doustny, 1 g/10 ml,5 amp.po 10 ml,05909990036011,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,11"
Exacyl,Acidum tranexamicum, tabl. powl., 500 mg,20 szt. (2 blist.po 10 szt.),05909990035915,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,56"
Tranexamic acid Accord,Acidum tranexamicum, roztwor do wstrzykiwan, 100 mg/ml,5 amp.po 5 ml,05909991313692,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,22"
Proursan,Acidum ursodeoxycholicum, kaps., 250 mg,90 szt.,05909991203924,30p,Zaburzenia czynnosci watroby i drog zolciowych zwiazane z mukowiscydoza. Pierwotna zolciowa marskosc watroby w poczatkowym stadium choroby,"41,68"
Ursocam,Acidum ursodeoxycholicum, tabl., 250 mg,100 szt.,05909990414741,30p,Pierwotna zolciowa marskosc watroby w poczatkowym stadium choroby,"24,89"
Ursocam,Acidum ursodeoxycholicum, tabl., 250 mg,90 szt.,05909991314675,30p,Pierwotna zolciowa marskosc watroby w poczatkowym stadium choroby,"22,51"
Ursopol,Acidum ursodeoxycholicum, kaps. twarde, 300 mg,50 szt.,05909990798223,30p,Pierwotna zolciowa marskosc watroby w poczatkowym stadium choroby,"15,20"
Ursoxyn,Acidum ursodeoxycholicum, kaps. twarde, 250 mg,100 szt.,05909991325794,30p,Zaburzenia czynnosci watroby i drog zolciowych zwiazane z mukowiscydoza. Pierwotna zolciowa marskosc watroby w poczatkowym stadium choroby,"24,55"
Ursoxyn,Acidum ursodeoxycholicum, kaps. twarde, 250 mg,50 szt.,05909991325770,30p,Zaburzenia czynnosci watroby i drog zolciowych zwiazane z mukowiscydoza. Pierwotna zolciowa marskosc watroby w poczatkowym stadium choroby,"12,88"
Convulex,Acidum valproicum, kaps. miekkie, 500 mg,100 szt.,05909990023813,ryczalt,Padaczka,"3,56"
Convulex,Acidum valproicum, kaps. miekkie, 500 mg,100 szt.,05909990023813,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"0,00"
Convulex 150,Acidum valproicum, kaps. miekkie, 150 mg,100 szt.,05909990244317,ryczalt,Padaczka,"8,28"
Convulex 150,Acidum valproicum, kaps. miekkie, 150 mg,100 szt.,05909990244317,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"5,08"
Convulex 300,Acidum valproicum, kaps. miekkie, 300 mg,100 szt.,05909990244416,ryczalt,Padaczka,"4,29"
Convulex 300,Acidum valproicum, kaps. miekkie, 300 mg,100 szt.,05909990244416,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"1,09"
Depakine Chrono 300,Acidum valproicum + Natrii valproas, tabl. powl. o przedluzonym uwalnianiu, 87+200 mg,30 szt. (blist.),05909990694327,ryczalt,Padaczka,"6,05"
Depakine Chrono 300,Acidum valproicum + Natrii valproas, tabl. powl. o przedluzonym uwalnianiu, 87+200 mg,30 szt. (blist.),05909990694327,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"2,85"
Depakine Chrono 500,Acidum valproicum + Natrii valproas, tabl. powl. o przedluzonym uwalnianiu, 145+333 mg,30 szt.,05909991210328,ryczalt,Padaczka,"3,20"
Depakine Chrono 500,Acidum valproicum + Natrii valproas, tabl. powl. o przedluzonym uwalnianiu, 145+333 mg,30 szt.,05909991210328,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"0,00"
Depakine Chrono 500,Acidum valproicum + Natrii valproas, tabl. powl. o przedluzonym uwalnianiu, 145+333 mg,30 szt.,05909991229610,ryczalt,Padaczka,"3,20"
Depakine Chrono 500,Acidum valproicum + Natrii valproas, tabl. powl. o przedluzonym uwalnianiu, 145+333 mg,30 szt.,05909991229610,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"0,00"
Depakine Chrono 500,Acidum valproicum + Natrii valproas, tabl. powl. o przedluzonym uwalnianiu, 145+333 mg,30 szt. (blist.),05909990694426,ryczalt,Padaczka,"3,20"
Depakine Chrono 500,Acidum valproicum + Natrii valproas, tabl. powl. o przedluzonym uwalnianiu, 145+333 mg,30 szt. (blist.),05909990694426,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"0,00"
Depakine Chronosphere 100,Acidum valproicum + Natrii valproas, granulat o przedluzonym uwalnianiu,29,66 mg,05909990425693,ryczalt,Padaczka,"5,34"
Depakine Chronosphere 100,Acidum valproicum + Natrii valproas, granulat o przedluzonym uwalnianiu,29,66 mg,05909990425693,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"2,14"
Depakine Chronosphere 1000,Acidum valproicum + Natrii valproas, granulat o przedluzonym uwalnianiu,290,60 mg,05909990425754,ryczalt,Padaczka,"9,89"
Depakine Chronosphere 1000,Acidum valproicum + Natrii valproas, granulat o przedluzonym uwalnianiu,290,60 mg,05909990425754,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"6,69"
Depakine Chronosphere 250,Acidum valproicum + Natrii valproas, granulat o przedluzonym uwalnianiu,72,76 mg,05909990425709,ryczalt,Padaczka,"8,17"
Depakine Chronosphere 250,Acidum valproicum + Natrii valproas, granulat o przedluzonym uwalnianiu,72,76 mg,05909990425709,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"4,97"
Depakine Chronosphere 500,Acidum valproicum + Natrii valproas, granulat o przedluzonym uwalnianiu,145,30 mg,05909990425730,ryczalt,Padaczka,"7,68"
Depakine Chronosphere 500,Acidum valproicum + Natrii valproas, granulat o przedluzonym uwalnianiu,145,30 mg,05909990425730,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"4,48"
Depakine Chronosphere 750,Acidum valproicum + Natrii valproas, granulat o przedluzonym uwalnianiu,217,06 mg,05909990425747,ryczalt,Padaczka,"8,75"
Depakine Chronosphere 750,Acidum valproicum + Natrii valproas, granulat o przedluzonym uwalnianiu,217,06 mg,05909990425747,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"5,55"
ValproLEK 300,Acidum valproicum + Natrii valproas, tabl. o przedluzonym uwalnianiu, 87+200 mg,30 szt. (3 blist.po 10 szt.),05909990619658,ryczalt,Padaczka,"3,20"
ValproLEK 300,Acidum valproicum + Natrii valproas, tabl. o przedluzonym uwalnianiu, 87+200 mg,30 szt. (3 blist.po 10 szt.),05909990619658,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"0,00"
ValproLEK 500,Acidum valproicum + Natrii valproas, tabl. o przedluzonym uwalnianiu, 145+333 mg,30 szt. (3 blist.po 10 szt.),05909990619672,ryczalt,Padaczka,"3,20"
ValproLEK 500,Acidum valproicum + Natrii valproas, tabl. o przedluzonym uwalnianiu, 145+333 mg,30 szt. (3 blist.po 10 szt.),05909990619672,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"0,00"
Desinobon,Acidum zoledronicum, koncentrat do sporzadzania roztworu do infuzji, 4 mg/5 ml,1 fiol.po 5 ml,05909991009250,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"16,65"
Fayton,Acidum zoledronicum, roztwor do infuzji, 4 mg/100 ml,1 fiol.po 100 ml,05909991078577,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"10,98"
Fayton,Acidum zoledronicum, koncentrat do sporzadzania roztworu do infuzji, 4 mg/5 ml,1 fiol.po 5 ml,05909991016197,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"10,98"
Osporil,Acidum zoledronicum, roztwor do infuzji, 4 mg/100 ml,1 fiol.po 100 ml,05909991228392,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"17,78"
Zerlinda,Acidum zoledronicum, roztwor do infuzji, 4 mg/100 ml,1 worek po 100 ml,05909991103163,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"16,65"
Zoledronic acid Accord,Acidum zoledronicum, koncentrat do sporzadzania roztworu do infuzji, 4 mg/5 ml,1 fiol. (5 ml),05055565711958,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Zoledronic acid Actavis,Acidum zoledronicum, koncentrat do sporzadzania roztworu do infuzji, 4 mg/5 ml,1 fiol.po 5 ml,05909990975730,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"10,98"
Zoledronic acid Actavis,Acidum zoledronicum, koncentrat do sporzadzania roztworu do infuzji, 4 mg/5 ml,4 fiol. (5 ml),05909990975747,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Zomikos,Acidum zoledronicum, koncentrat do sporzadzania roztworu do infuzji, 4 mg/5 ml,1 fiol.po 5 ml,05909990948994,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"14,38"
Acitren,Acitretinum, kaps. twarde, 10 mg,100 szt.,05909990907755,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Acitren,Acitretinum, kaps. twarde, 10 mg,30 szt.,05909990907731,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,29"
Acitren,Acitretinum, kaps. twarde, 25 mg,100 szt.,05909990907786,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,62"
Acitren,Acitretinum, kaps. twarde, 25 mg,30 szt.,05909990907762,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Neotigason,Acitretinum, kaps., 10 mg,100 szt.,05909990697021,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Neotigason,Acitretinum, kaps., 10 mg,30 szt.,05909990854462,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,29"
Neotigason,Acitretinum, kaps., 25 mg,100 szt.,05909990696925,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,62"
Adrenalina WZF,Adrenalinum, roztwor do wstrzykiwan, 300 ug/0,1 amp.-strz.po 1 ml,05909991069711,50p,"Leczenie dorazne w naglych przypadkach ostrych reakcji alergicznych (anafilaksji), wywolanych przez pokarmy, leki, ukaszenia i uzadlenia owadow oraz inne alergeny, jak rowniez w przypadku anafilaksji samoistnej","27,82"
Adrenalina WZF 0,Adrenalinum,1p, roztwor do wstrzykiwan,10 amp.po 1 ml,05909990182510,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Agolek,Agomelatinum, tabl. powl., 25 mg,28 szt.,05909991388768,30p,"Leczenie duzych epizodow depresyjnych u doroslych z widocznymi w obrazie klinicznym objawami zaburzen snu lub leku, lub anhedonii","20,07"
Agomelatine +pharma,Agomelatinum, tabl. powl., 25 mg,30 szt.,05901720140494,30p,"Leczenie duzych epizodow depresyjnych u doroslych z widocznymi w obrazie klinicznym objawami zaburzen snu lub leku, lub anhedonii","19,73"
Agomelatine +pharma,Agomelatinum, tabl. powl., 25 mg,90 szt.,05901720140043,30p,"Leczenie duzych epizodow depresyjnych u doroslych z widocznymi w obrazie klinicznym objawami zaburzen snu lub leku, lub anhedonii","55,04"
Agomelatine Adamed,Agomelatinum, tabl. powl., 25 mg,28 szt.,05909991387266,30p,"Leczenie duzych epizodow depresyjnych u doroslych z widocznymi w obrazie klinicznym objawami zaburzen snu lub leku, lub anhedonii","21,21"
Agomelatine G.L. Pharma,Agomelatinum, tabl. powl., 25 mg,28 szt.,09008732009293,30p,"Leczenie duzych epizodow depresyjnych u doroslych z widocznymi w obrazie klinicznym objawami zaburzen snu lub leku, lub anhedonii","18,26"
Agomelatine NeuroPharma,Agomelatinum, tabl. powl., 25 mg,28 szt.,05909991395018,30p,"Leczenie duzych epizodow depresyjnych u doroslych z widocznymi w obrazie klinicznym objawami zaburzen snu lub leku, lub anhedonii","20,07"
Agomelatyna Egis,Agomelatinum, tabl. powl., 25 mg,28 szt.,05995327174952,30p,"Leczenie duzych epizodow depresyjnych u doroslych z widocznymi w obrazie klinicznym objawami zaburzen snu lub leku, lub anhedonii","19,51"
Lamegom,Agomelatinum, tabl. powl., 25 mg,28 tabl.,03838989699352,30p,"Leczenie duzych epizodow depresyjnych u doroslych z widocznymi w obrazie klinicznym objawami zaburzen snu lub leku, lub anhedonii","21,21"
Symago,Agomelatinum, tabl. powl., 25 mg,28 szt.,05909991391423,30p,"Leczenie duzych epizodow depresyjnych u doroslych z widocznymi w obrazie klinicznym objawami zaburzen snu lub leku, lub anhedonii","18,94"
Valdoxan,Agomelatinum, tabl. powl., 25 mg,28 tabl.,05909990686568,30p,"Leczenie duzych epizodow depresyjnych u doroslych z widocznymi w obrazie klinicznym objawami zaburzen snu lub leku, lub anhedonii","67,70"
Novo-Helisen Depot,Alergeny kurzu domowego, zawiesina do wstrzykiwan, stezenie: 1 - 50 TU/ml lub 50 PNU/ml. 2 - 500 TU/ml lub 500 PNU/ml. 3 - 5000 TU/ml lub 5000 PNU/ml,"3 fiol.po 4,5 ml (stezenia 1-3)",05909990001118,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"19,41"
Allergovit,Alergeny pylkow roslin, zawiesina do wstrzykiwan, stezenie B - 10000 TU/ml,1 fiol.po 3 ml (stezenie B) + 10 strz. + 10 igiel,05909990001323,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"77,24"
Allergovit,Alergeny pylkow roslin, zawiesina do wstrzykiwan, stezenie: A - 1000 TU/ml. B- 10000 TU/ml,2 fiol.po 3 ml (stezenie A i B) + 10 strz. + 10 igiel,05909990001316,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"82,05"
Purethal,Alergeny pylkow roslin, zawiesina do wstrzykiwan, 20000 AUM/ml,1 fiol.po 3 ml + 8 strz. z igla,05909990975310,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Purethal,Alergeny pylkow roslin, zawiesina do wstrzykiwan, 20000 AUM/ml,1 fiol.po 3 ml + 8 strz. z igla,05909990975419,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Alfadiol,Alfacalcidolum, kaps. miekkie, 0.25 ug,100 szt. (2 blist.po 50 szt.),05909990296828,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,84"
Alfadiol,Alfacalcidolum, kaps. miekkie, 1 ug,100 szt. (2 blist.po 50 szt.),05909990296927,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"10,67"
Dalfaz Uno,Alfuzosini hydrochloridum, tabl. o przedl. uwalnianiu, 10 mg,30 szt.,05909991288457,ryczalt,Przerost gruczolu krokowego,"4,27"
Dalfaz Uno,Alfuzosini hydrochloridum, tabl. o przedl. uwalnianiu, 10 mg,30 szt.,05909991392055,ryczalt,Przerost gruczolu krokowego,"4,27"
Alfabax,Alfuzosinum, tabl. o przedluzonym uwalnianiu, 10 mg,30 szt. (3 blist.po 10 szt.),05909990746576,ryczalt,Przerost gruczolu krokowego,"4,27"
Alfurion,Alfuzosinum, tabl. o przedl. uwalnianiu, 10 mg,30 szt.,05909991291945,ryczalt,Przerost gruczolu krokowego,"4,27"
Alfuzostad 10 mg,Alfuzosinum, tabl. o przedluzonym uwalnianiu, 10 mg,30 szt. (3 blist.po 10 szt.),05909990619580,ryczalt,Przerost gruczolu krokowego,"4,27"
Alugen 10 mg,Alfuzosinum, tabl. o przedluzonym uwalnianiu, 10 mg,30 szt.,05909990037933,ryczalt,Przerost gruczolu krokowego,"4,27"
Dalfaz SR 5,Alfuzosinum, tabl. powl. o przedluzonym uwalnianiu, 5 mg,20 szt.,05909990812714,ryczalt,Przerost gruczolu krokowego,"5,11"
Dalfaz Uno,Alfuzosinum, tabl. o przedl. uwalnianiu, 10 mg,30 szt.,05909991344368,ryczalt,Przerost gruczolu krokowego,"4,27"
Dalfaz Uno,Alfuzosinum, tabl. o przedluzonym uwalnianiu, 10 mg,30 szt.,05909990837816,ryczalt,Przerost gruczolu krokowego,"8,71"
Allupol,Allopurinolum, tabl., 100 mg,50 szt. (2 blist.po 25 szt.),05909990109418,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Allupol,Allopurinolum, tabletki, 300 mg,30 tabl.,05909991316228,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Argadopin,Allopurinolum, tabl., 100 mg,100 tabl.,05907626706529,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Argadopin,Allopurinolum, tabl., 100 mg,50 tabl.,05907626706505,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Argadopin,Allopurinolum, tabl., 300 mg,100 tabl.,05907626706628,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,00"
Argadopin,Allopurinolum, tabl., 300 mg,30 tabl.,05907626706604,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Milurit,Allopurinolum, tabl., 100 mg,50 szt. (1 opak.po 50 szt.),05909990163212,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Milurit,Allopurinolum, tabl., 300 mg,30 szt. (1 opak.po 30 szt.),05909990414819,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Viregyt-K,Amantadinum, kaps., 100 mg,50 szt.,05909990320912,30p,Choroba i zespol Parkinsona,"6,08"
Mytelase,Ambenonium, tabl., 10 mg,50 szt,05909990030927,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,14"
Tialorid,Amiloridum + Hydrochlorothiazidum, tabl., 5+50 mg,50 tabl.,05909990206025,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,58"
Tialorid mite,Amiloridum + Hydrochlorothiazidum, tabl.,2,50 tabl.,05909990373819,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,47"
Opacorden,Amiodaronum, tabl. powl., 200 mg,60 szt.,05909990086818,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,40"
Amisan,Amisulpridum, tabl., 200 mg,30 szt. (3 blist.po 10 szt.),05909990762965,ryczalt,Schizofrenia,"3,20"
Amisan,Amisulpridum, tabl., 200 mg,60 szt. (6 blist.po 10 szt.),05909990762972,ryczalt,Schizofrenia,"3,20"
Amisan,Amisulpridum, tabl., 400 mg,30 szt. (3 blist.po 10 szt.),05909990762996,ryczalt,Schizofrenia,"3,20"
Amisan,Amisulpridum, tabl., 400 mg,60 szt. (6 blist.po 10 szt.),05909990763009,ryczalt,Schizofrenia,"6,40"
Amisan,Amisulpridum, tabl., 50 mg,60 szt. (5 blist.po 12),05909990762880,ryczalt,Schizofrenia,"6,15"
Amisulpryd Aurovitas,Amisulpridum, tabl., 200 mg,30 szt.,05909991348557,ryczalt,Schizofrenia,"5,30"
Amisulpryd Aurovitas,Amisulpridum, tabl. powl., 400 mg,30 szt.,05909991348649,ryczalt,Schizofrenia,"3,20"
ApoSuprid,Amisulpridum, tabl. powl., 200 mg,30 tabl.,05909990936502,ryczalt,Schizofrenia,"6,55"
ApoSuprid,Amisulpridum, tabl. powl., 400 mg,30 tabl.,05909990936557,ryczalt,Schizofrenia,"4,44"
Solian,Amisulpridum, tabl., 100 mg,30 szt.,05909990840816,ryczalt,Schizofrenia,"6,15"
Solian,Amisulpridum, tabl., 200 mg,30 szt.,05909990840915,ryczalt,Schizofrenia,"6,10"
Solian,Amisulpridum, tabl. powl., 400 mg,30 szt.,05909990841011,ryczalt,Schizofrenia,"3,53"
Symamis,Amisulpridum, tabl., 200 mg,30 szt.,05909991410773,ryczalt,Schizofrenia,"5,25"
Symamis,Amisulpridum, tabl., 400 mg,30 szt.,05909991410803,ryczalt,Schizofrenia,"3,20"
Amitriptylinum VP,Amitriptilinum, tabl. powl., 10 mg,60 szt. (2 blist.po 30 szt.),05909991049010,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,76"
Amitriptylinum VP,Amitriptilinum, tabl. powl., 10 mg,60 szt. (2 blist.po 30 szt.),05909991049010,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"5,39"
Amitriptylinum VP,Amitriptilinum, tabl. powl., 25 mg,60 szt. (2 blist.po 30 szt.),05909991048914,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,01"
Amitriptylinum VP,Amitriptilinum, tabl. powl., 25 mg,60 szt. (2 blist.po 30 szt.),05909991048914,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"8,08"
Amlodipine Aurovitas,Amlodipini besilas, tabl., 10 mg,30 szt.,05909991322885,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,84"
Amlodipine Aurovitas,Amlodipini besilas, tabl., 5 mg,30 tabl.,05909991322816,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,50"
Adipine,Amlodipinum, tabl., 10 mg,30 szt. (3 blist.po 10 szt.),05909990642267,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,68"
Adipine,Amlodipinum, tabl., 5 mg,30 szt. (3 blist.po 10 szt.),05909990642311,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,89"
Agen 10,Amlodipinum, tabl., 10 mg,30 szt.,05909991230845,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,26"
Agen 10,Amlodipinum, tabl., 10 mg,30 szt.,05909991226909,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,47"
Agen 10,Amlodipinum, tabl., 10 mg,30 szt. (3 blist.po 10 szt. lub 2 blist.po 15 szt.),05909991099022,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,06"
Agen 10,Amlodipinum, tabletki, 10 mg,30 tabl.,05909991302184,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,47"
Agen 10,Amlodipinum, tabl., 10 mg,60 szt.,05909991226916,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,55"
Agen 10,Amlodipinum, tabl., 10 mg,60 szt. (6 blist.po 10 szt. lub 4 blist.po 15 szt.),05909991067540,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,91"
Agen 5,Amlodipinum, tabl., 5 mg,30 szt.,05909991231811,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,75"
